movie_id,country_code
969681,US
1423191,US
1423191,DE
1423191,FR
1101383,US
1204680,US
1368337,GB
1368337,US
1375646,KR
1294189,US
1288445,GB
1288445,US
1108427,US
1285366,JP
1482547,DK
1482547,US
1482547,GB
1440098,ES
1084244,US
1386315,US
1386315,GB
1339713,US
1339713,GB
1408162,IN
1232569,GB
1315772,US
44980,JP
1323244,PL
1137844,US
1393326,ID
1393326,KR
1469930,ID
1516698,US
1516698,ES
1185806,CA
1185806,US
1621552,MX
1506560,CA
1506560,US
1058424,KR
687163,US
755898,US
1127384,US
1127384,ES
1127384,AU
1127384,CN
1127384,UA
1275779,US
980431,US
980431,KR
980431,AU
1083381,US
1083381,CA
299534,US
299536,US
1130948,DE
1130948,IT
1130948,GB
1130948,ES
1130948,CA
1130948,BR
1130948,FR
1599993,DO
1228710,US
264980,DE
1419406,CN
1419406,HK
6435,US
1084242,US
1084242,CA
278,US
1228834,US
1514682,US
1514682,ES
1224993,KR
1560520,US
83533,US
1318467,US
1641629,FR
1641629,US
860508,US
1081003,US
1405742,US
157336,GB
157336,US
1101412,GB
1101412,US
1301421,US
1301421,GB
1302904,US
24428,US
634649,US
1273221,US
1311031,JP
238,US
1184918,US
813418,PL
813418,GR
813418,SE
155,GB
155,US
1377237,US
1377237,AU
1377237,GB
76341,AU
76341,US
1180894,AR
1180894,ES
1240889,GB
1240889,US
27205,GB
27205,US
1226863,JP
1226863,US
218,GB
218,US
19995,US
19995,GB
533535,US
1641580,CA
1212763,US
671,GB
671,US
1284465,US
936075,US
872585,GB
872585,US
1656489,TR
1594914,US
1234821,US
1280738,HK
1280738,CN
1280738,US
1288059,US
822119,US
693134,US
569094,US
460458,DE
460458,US
460458,CA
1386238,AR
454639,US
120,NZ
120,US
1723013,PH
603,US
122,NZ
122,US
1514863,US
1327819,US
414906,US
