movie_id,company_id
969681,420
969681,5
969681,84041
969681,22213
1204680,94218
1204680,296158
1204680,25120
1204680,174
1101383,174
1101383,216687
1101383,11461
1101383,171235
1368337,33
1368337,9996
1375646,218768
1375646,246330
1375646,243139
1294189,14589
1294189,33768
1288445,218150
1288445,73492
264980,9245
1108427,2
1108427,73669
1108427,34081
1108427,122645
1423191,47
1423191,240675
1423191,829
1423191,342
1423191,5
1423191,125281
1423191,559
1440098,32485
30723,1009
1482547,3349
1482547,46225
1482547,290125
1285366,62454
1386315,210099
1386315,244481
1408162,107352
1408162,172461
1408162,166697
1393326,198917
1393326,7872
1393326,4399
1393326,46840
1137844,82819
1137844,104228
1137844,129200
1084244,3
1339713,155758
1339713,273145
1339713,154063
1339713,3172
