local_uri,tmdb_id,imdb_id,title,release_date,wikidata_uri,wikidata_label,wikidata_release_date,dbpedia_uri,search_method,matched_by,score,status
https://example.org/movie/1273221,1273221,tt32093575,Scary Movie,06-03-26,http://www.wikidata.org/entity/Q131450198,Scary Movie,06-04-26,http://dbpedia.org/resource/Scary_Movie_(2026_film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1275779,1275779,tt15047880,Disclosure Day,06-10-26,http://www.wikidata.org/entity/Q126683577,Disclosure Day,06-10-26,http://dbpedia.org/resource/Disclosure_Day,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1280738,1280738,tt33311069,The Furious,06-10-26,http://www.wikidata.org/entity/Q125948183,The Furious,09-06-25,http://dbpedia.org/resource/The_Furious,identifier,tmdb_id+imdb_id+release_year_mismatch,0.00,rejected
https://example.org/movie/1284465,1284465,tt32273171,The Death of Robin Hood,06-18-26,http://www.wikidata.org/entity/Q125960231,The Death of Robin Hood,08-12-26,http://dbpedia.org/resource/The_Death_of_Robin_Hood,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1288059,1288059,tt32332915,I Want Your Sex,07-29-26,http://www.wikidata.org/entity/Q130646766,I Want Your Sex,01-23-26,http://dbpedia.org/resource/I_Want_Your_Sex_(film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1288445,1288445,tt32338669,Mutiny,08-19-26,http://www.wikidata.org/entity/Q125878994,Mutiny,08-21-26,http://dbpedia.org/resource/Mutiny_(2026_film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1294189,1294189,tt13611778,The Mongoose,10-29-26,http://www.wikidata.org/entity/Q132240256,The Mongoose,10-30-26,http://dbpedia.org/resource/The_Mongoose_(film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1301421,1301421,tt32565993,The Sheep Detectives,04-30-26,http://www.wikidata.org/entity/Q126405648,The Sheep Detectives,05-07-26,http://dbpedia.org/resource/The_Sheep_Detectives,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1302904,1302904,tt32588798,Practical Magic 2,09-09-26,http://www.wikidata.org/entity/Q131901398,Practical Magic 2,08-26-26,http://dbpedia.org/resource/Practical_Magic_2,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1311031,1311031,tt32820897,Demon Slayer: Kimetsu no Yaiba Infinity Castle,07-18-25,http://www.wikidata.org/entity/Q126948105,Demon Slayer: Kimetsu no Yaiba – Infinity Castle,07-28-25,http://dbpedia.org/resource/Demon_Slayer:_Kimetsu_no_Yaiba_%E2%80%93_The_Movie:_Infinity_Castle,identifier,tmdb_id+imdb_id+release_year,1.00,approved
